"","SKU.Code","Design.No.","Stock","Category","Size","Color"
"226","BTM005-XXXL","BTM005",59,"PANT","XXXL","Black"
"227","BTM006-L","BTM006",2,"BOTTOM","L","Green"
"228","BTM006-M","BTM006",2,"BOTTOM","M","Green"
"229","BTM006-S","BTM006",1,"BOTTOM","S","Green"
"230","BTM006-XL","BTM006",3,"BOTTOM","XL","Green"
"231","BTM006-XS","BTM006",3,"BOTTOM","XS","Green"
"232","BTM006-XXL","BTM006",3,"BOTTOM","XXL","Green"
"233","BTM006-XXXL","BTM006",4,"BOTTOM","XXXL","Green"
"234","BTM007-L","BTM007",2,"BOTTOM","L","Beige"
"235","BTM007-M","BTM007",1,"BOTTOM","M","Beige"
"236","BTM007-S","BTM007",2,"BOTTOM","S","Beige"
"237","BTM007-XL","BTM007",3,"BOTTOM","XL","Beige"
"238","BTM007-XS","BTM007",2,"BOTTOM","XS","Beige"
"239","BTM007-XXL","BTM007",2,"BOTTOM","XXL","Beige"
"240","BTM008-L","BTM008",6,"PANT","L","Grey"
"241","BTM008-M","BTM008",1,"PANT","M","Grey"
"242","BTM008-S","BTM008",5,"PANT","S","Grey"
"243","BTM008-XL","BTM008",10,"PANT","XL","Grey"
"244","BTM008-XS","BTM008",21,"PANT","XS","Grey"
"245","BTM008-XXL","BTM008",6,"PANT","XXL","Grey"
"246","BTM008-XXXL","BTM008",15,"PANT","XXXL","Grey"
"247","BTM021-L","BTM021",136,"PANT","L","Navy Blue"
"248","BTM021-M","BTM021",63,"PANT","M","Navy Blue"
"249","BTM021-S","BTM021",134,"PANT","S","Navy Blue"
"250","BTM021-XL","BTM021",176,"PANT","XL","Navy Blue"
"251","BTM021-XS","BTM021",41,"PANT","XS","Navy Blue"
"252","BTM021-XXL","BTM021",92,"PANT","XXL","Navy Blue"
"253","BTM021-XXXL","BTM021",102,"PANT","XXXL","Navy Blue"
"254","BTM026-NP-L","BTM026",1,"PANT","L","Red"
"255","BTM026-NP-M","BTM026",6,"PANT","M","Red"
"256","BTM026-NP-S","BTM026",6,"PANT","S","Red"
"257","BTM026-NP-XL","BTM026",0,"PANT","XL","Red"
"258","BTM026-NP-XS","BTM026",23,"PANT","XS","Red"
"259","BTM026-NP-XXL","BTM026",0,"PANT","XXL","Red"
"260","BTM026-NP-XXXL","BTM026",3,"PANT","XXXL","Red"
"261","BTM027-NP-L","BTM027",14,"PANT","L","Green"
"262","BTM027-NP-M","BTM027",14,"PANT","M","Green"
"263","BTM027-NP-S","BTM027",37,"PANT","S","Green"
"264","BTM027-NP-XL","BTM027",8,"PANT","XL","Green"
"265","BTM027-NP-XS","BTM027",25,"PANT","XS","Green"
"266","BTM027-NP-XXL","BTM027",25,"PANT","XXL","Green"
"267","BTM027-NP-XXXL","BTM027",16,"PANT","XXXL","Green"
"268","BTM029-NP-L","BTM029",2,"PANT","L","Beige"
"269","BTM029-NP-M","BTM029",4,"PANT","M","Beige"
"270","BTM029-NP-S","BTM029",1,"PANT","S","Beige"
"271","BTM029-NP-XL","BTM029",2,"PANT","XL","Beige"
"272","BTM029-NP-XS","BTM029",2,"PANT","XS","Beige"
"273","BTM029-NP-XXL","BTM029",0,"PANT","XXL","Beige"
"274","BTM029-NP-XXXL","BTM029",1,"PANT","XXXL","Beige"
"275","BTM030-NP-L","BTM030",0,"PANT","L","Dark Green"
"276","BTM030-NP-M","BTM030",1,"PANT","M","Dark Green"
"277","BTM030-NP-S","BTM030",8,"PANT","S","Dark Green"
"278","BTM030-NP-XL","BTM030",1,"PANT","XL","Dark Green"
"279","BTM030-NP-XS","BTM030",7,"PANT","XS","Dark Green"
"280","BTM030-NP-XXL","BTM030",1,"PANT","XXL","Dark Green"
"281","BTM030-NP-XXXL","BTM030",5,"PANT","XXXL","Dark Green"
"282","BTM031-NP-L","BTM031",43,"PANT","L","Brown"
"283","BTM031-NP-M","BTM031",6,"PANT","M","Brown"
"284","BTM031-NP-S","BTM031",56,"PANT","S","Brown"
"285","BTM031-NP-XL","BTM031",13,"PANT","XL","Brown"
"286","BTM031-NP-XS","BTM031",20,"PANT","XS","Brown"
"287","BTM031-NP-XXL","BTM031",56,"PANT","XXL","Brown"
"288","BTM031-NP-XXXL","BTM031",50,"PANT","XXXL","Brown"
"289","BTM032-NP-L","BTM032",1,"PANT","L","Pink"
"290","BTM032-NP-M","BTM032",1,"PANT","M","Pink"
"291","BTM032-NP-S","BTM032",2,"PANT","S","Pink"
"292","BTM032-NP-XL","BTM032",1,"PANT","XL","Pink"
"293","BTM032-NP-XS","BTM032",5,"PANT","XS","Pink"
"294","BTM032-NP-XXL","BTM032",3,"PANT","XXL","Pink"
"295","BTM032-NP-XXXL","BTM032",1,"PANT","XXXL","Pink"
"296","BTM033-NP-L","BTM033",0,"PANT","L","Turquoise Blue"
"297","BTM033-NP-M","BTM033",1,"PANT","M","Turquoise Blue"
"298","BTM033-NP-S","BTM033",1,"PANT","S","Turquoise Blue"
"299","BTM033-NP-XL","BTM033",1,"PANT","XL","Turquoise Blue"
"300","BTM033-NP-XS","BTM033",5,"PANT","XS","Turquoise Blue"
"301","BTM033-NP-XXL","BTM033",3,"PANT","XXL","Turquoise Blue"
"302","BTM033-NP-XXXL","BTM033",2,"PANT","XXXL","Turquoise Blue"
"303","BTM035-NP-L","BTM035",0,"PANT","L","Mustard"
"304","BTM035-NP-M","BTM035",0,"PANT","M","Mustard"
"305","BTM035-NP-S","BTM035",4,"PANT","S","Mustard"
"306","BTM035-NP-XL","BTM035",1,"PANT","XL","Mustard"
"307","BTM035-NP-XS","BTM035",12,"PANT","XS","Mustard"
"308","BTM035-NP-XXL","BTM035",3,"PANT","XXL","Mustard"
"309","BTM035-NP-XXXL","BTM035",4,"PANT","XXXL","Mustard"
"310","BTM036-PP-L","BTM036",3,"PALAZZO","L","Red"
"311","BTM036-PP-M","BTM036",10,"PALAZZO","M","Red"
"312","BTM036-PP-S","BTM036",8,"PALAZZO","S","Red"
"313","BTM036-PP-XL","BTM036",6,"PALAZZO","XL","Red"
"314","BTM036-PP-XS","BTM036",33,"PALAZZO","XS","Red"
"315","BTM036-PP-XXL","BTM036",3,"PALAZZO","XXL","Red"
"316","BTM036-PP-XXXL","BTM036",6,"PALAZZO","XXXL","Red"
"317","BTM037-PP-L","BTM037",2,"PALAZZO","L","Teal"
"318","BTM037-PP-M","BTM037",4,"PALAZZO","M","Teal"
"319","BTM037-PP-S","BTM037",7,"PALAZZO","S","Teal"
"320","BTM037-PP-XL","BTM037",3,"PALAZZO","XL","Teal"
"321","BTM037-PP-XS","BTM037",21,"PALAZZO","XS","Teal"
"322","BTM037-PP-XXL","BTM037",3,"PALAZZO","XXL","Teal"
"323","BTM037-PP-XXXL","BTM037",3,"PALAZZO","XXXL","Teal"
"324","BTM038-PP-L","BTM038",3,"PALAZZO","L","Black"
"325","BTM038-PP-M","BTM038",2,"PALAZZO","M","Black"
"326","BTM038-PP-S","BTM038",6,"PALAZZO","S","Black"
"327","BTM038-PP-XL","BTM038",2,"PALAZZO","XL","Black"
"328","BTM038-PP-XS","BTM038",30,"PALAZZO","XS","Black"
"329","BTM038-PP-XXL","BTM038",3,"PALAZZO","XXL","Black"
"330","BTM038-PP-XXXL","BTM038",1,"PALAZZO","XXXL","Black"
"331","BTM039-PP-L","BTM039",2,"PALAZZO","L","White"
"332","BTM039-PP-M","BTM039",2,"PALAZZO","M","White"
"333","BTM039-PP-S","BTM039",4,"PALAZZO","S","White"
"334","BTM039-PP-XL","BTM039",2,"PALAZZO","XL","White"
"335","BTM039-PP-XS","BTM039",11,"PALAZZO","XS","White"
"336","BTM039-PP-XXL","BTM039",2,"PALAZZO","XXL","White"
"337","BTM039-PP-XXXL","BTM039",4,"PALAZZO","XXXL","White"
"338","BTM040-PP-L","BTM040",2,"PALAZZO","L","Brown"
"339","BTM040-PP-M","BTM040",4,"PALAZZO","M","Brown"
"340","BTM040-PP-S","BTM040",36,"PALAZZO","S","Brown"
"341","BTM040-PP-XL","BTM040",3,"PALAZZO","XL","Brown"
"342","BTM040-PP-XS","BTM040",35,"PALAZZO","XS","Brown"
"343","BTM040-PP-XXL","BTM040",4,"PALAZZO","XXL","Brown"
"344","BTM040-PP-XXXL","BTM040",2,"PALAZZO","XXXL","Brown"
"345","BTM041-PP-L","BTM041",6,"PALAZZO","L","Grey"
"346","BTM041-PP-M","BTM041",5,"PALAZZO","M","Grey"
"347","BTM041-PP-S","BTM041",51,"PALAZZO","S","Grey"
"348","BTM041-PP-XL","BTM041",7,"PALAZZO","XL","Grey"
"349","BTM041-PP-XS","BTM041",50,"PALAZZO","XS","Grey"
"350","BTM041-PP-XXL","BTM041",7,"PALAZZO","XXL","Grey"
"351","BTM041-PP-XXXL","BTM041",7,"PALAZZO","XXXL","Grey"
"352","BTM042-PP-L","BTM042",3,"PALAZZO","L","Mustard"
"353","BTM042-PP-M","BTM042",3,"PALAZZO","M","Mustard"
"354","BTM042-PP-S","BTM042",29,"PALAZZO","S","Mustard"
"355","BTM042-PP-XL","BTM042",3,"PALAZZO","XL","Mustard"
"356","BTM042-PP-XS","BTM042",55,"PALAZZO","XS","Mustard"
"357","BTM042-PP-XXL","BTM042",6,"PALAZZO","XXL","Mustard"
"358","BTM042-PP-XXXL","BTM042",3,"PALAZZO","XXXL","Mustard"
"359","BTM043-PP-L","BTM043",2,"PALAZZO","L","Khaki"
"360","BTM043-PP-M","BTM043",2,"PALAZZO","M","Khaki"
"361","BTM043-PP-S","BTM043",4,"PALAZZO","S","Khaki"
"362","BTM043-PP-XL","BTM043",3,"PALAZZO","XL","Khaki"
"363","BTM043-PP-XS","BTM043",8,"PALAZZO","XS","Khaki"
"364","BTM043-PP-XXL","BTM043",3,"PALAZZO","XXL","Khaki"
"365","BTM043-PP-XXXL","BTM043",3,"PALAZZO","XXXL","Khaki"
"366","BTM044-PP-L","BTM044",2,"PALAZZO","L","Maroon"
"367","BTM044-PP-M","BTM044",3,"PALAZZO","M","Maroon"
"368","BTM044-PP-S","BTM044",5,"PALAZZO","S","Maroon"
"369","BTM044-PP-XL","BTM044",2,"PALAZZO","XL","Maroon"
"370","BTM044-PP-XS","BTM044",55,"PALAZZO","XS","Maroon"
"371","BTM044-PP-XXL","BTM044",3,"PALAZZO","XXL","Maroon"
"372","BTM044-PP-XXXL","BTM044",5,"PALAZZO","XXXL","Maroon"
"373","BTM045-PP-L","BTM045",4,"PALAZZO","L","Olive Green"
"374","BTM045-PP-M","BTM045",3,"PALAZZO","M","Olive Green"
"375","BTM045-PP-S","BTM045",34,"PALAZZO","S","Olive Green"
"376","BTM045-PP-XL","BTM045",4,"PALAZZO","XL","Olive Green"
"377","BTM045-PP-XS","BTM045",26,"PALAZZO","XS","Olive Green"
"378","BTM045-PP-XXL","BTM045",24,"PALAZZO","XXL","Olive Green"
"379","BTM045-PP-XXXL","BTM045",6,"PALAZZO","XXXL","Olive Green"
"380","BTM046-PP-L","BTM046",3,"PALAZZO","L","Navy Blue"
"381","BTM046-PP-M","BTM046",10,"PALAZZO","M","Navy Blue"
"382","BTM046-PP-S","BTM046",29,"PALAZZO","S","Navy Blue"
"383","BTM046-PP-XL","BTM046",3,"PALAZZO","XL","Navy Blue"
"384","BTM046-PP-XS","BTM046",27,"PALAZZO","XS","Navy Blue"
"385","BTM046-PP-XXL","BTM046",2,"PALAZZO","XXL","Navy Blue"
"386","BTM046-PP-XXXL","BTM046",3,"PALAZZO","XXXL","Navy Blue"
"387","BTM047-PP-L","BTM047",3,"PALAZZO","L","Pink"
"388","BTM047-PP-M","BTM047",10,"PALAZZO","M","Pink"
"389","BTM047-PP-S","BTM047",15,"PALAZZO","S","Pink"
"390","BTM047-PP-XL","BTM047",6,"PALAZZO","XL","Pink"
"391","BTM047-PP-XS","BTM047",32,"PALAZZO","XS","Pink"
"392","BTM047-PP-XXL","BTM047",11,"PALAZZO","XXL","Pink"
"393","BTM047-PP-XXXL","BTM047",4,"PALAZZO","XXXL","Pink"
"394","BTM048-PP-L","BTM048",3,"PALAZZO","L","Green"
"395","BTM048-PP-M","BTM048",3,"PALAZZO","M","Green"
"396","BTM048-PP-S","BTM048",6,"PALAZZO","S","Green"
"397","BTM048-PP-XL","BTM048",2,"PALAZZO","XL","Green"
"398","BTM048-PP-XS","BTM048",51,"PALAZZO","XS","Green"
"399","BTM048-PP-XXL","BTM048",16,"PALAZZO","XXL","Green"
